facilityname,countrycode,floodrisk,latitude,longitude
HENKEL US OPERATIONS CORP,US,4.21,39.134272,-94.556855
AES BEAVER VALLEY LLC,US,1.15,40.65554,-80.34946
KILLEN STATION,US,6.06,38.6903,-83.4803
JM STUART STATION,US,0.28,38.641584,-83.684561
IPL PETERSBURG,US,0.15,38.52776,-87.252884
AES Huntington Beach,US,0.01,33.6436,-117.9788
BECTON DICKINSON & CO,US,0.01,41.43596,-97.3194
WESTROCK CONVERTING CO LLC   STROUDSBURG MILL,US,7.92,40.999327,-75.146544
WESTROCK / SEVEN HILLS LLC,US,20.89,37.403284,-79.127627
WESTROCK KRAFT PAPER LLC,US,15.97,36.476037,-77.643173
WESTROCK MILL CO LLC,US,21.4,32.453775,-87.977104
WESTROCK CHATTANOOGA TN MILL,US,1.83,35.061315,-85.323309
WESTROCK CP LLC,US,1.86,40.279858,-81.863097
WESTROCK LONGVIEW LLC,US,2.14,46.10361,-122.92167
WESTROCK LONGVIEW LLC,US,6.19,46.107527,-122.926617
Seven Hills Paperboard. LLC,US,20.89,37.403741,-79.128076
PPG INDUSTRIESINC-SPRINGDALE COMPLEX,US,21.74,40.536826,-79.785659
CROWN GROUP EAST MOLINE PLANT,US,5.85,41.527496,-90.414148
VERSAFLEX,US,9.26,39.08662,-94.61384
CALLAWAY GOLF BALL OPERATIONS INC,US,0.67,42.17553,-72.61462
QUAD GRAPHICS MARKETING LLC,US,1.66,41.796068,-92.057884
PACKAGING CORP OF AMERICA,US,3.44,42.29226,-72.61873
PACKAGING CORP OF AMERI CA,US,2.09,45.450849,-89.740303
BOISE WHITE PAPER LLC,US,2.07,46.10396,-118.9184
RUSTOLEUM CORP,US,23.34,38.55551,-82.2836
RUST-OLEUM - PHOENIX,US,8.06,33.417142,-112.067855
KNOWLTON TECHNOLOGIES LLC,US,1.04,43.97535,-75.90653
EASTMAN CHEMICAL RESINS INC,US,14,40.27322,-79.89591
FLEXSYS AMERICA LP KRUMMRICH,US,4.64,38.59724,-90.168697
SOLUTIA INC P2S5 PLANT,US,4.64,38.597292,-90.168822
TAMINCO US LLC,US,3.66,30.250833,-91.092278
METAL IMPROVEMENT CO,US,0.72,40.08066,-74.91894
LUBRIZOL CORP,US,0.91,39.763889,-75.422778
THE LUBRIZOL CORP,US,30,40.564,-80.2159
SHAW INDUSTRIES GROUP INC PLANT 8S,US,1.23,34.047222,-81.151361
JOHNS MANVILLE,US,1.33,32.432598,-84.975758
SCHULZ XTRUDED PRODUCTS,US,0.08,34.821882,-90.26895
ANDREWS LASER WORKS,US,3.34,39.05274,-84.49133
HUNTINGTON ALLOYS CORP,US,12.7,38.26704,-82.58087
LUBRIZOL ADVANCED MATERIALS INC,US,6.67,37.046288,-88.325437
JOHNS MANVILLE PLANT 2,US,11.12,41.2859,-84.3648
JOHNS MANVILLE PLANT 01,US,9.06,41.53034,-83.70679
MIDAMERICAN ENERGY CO GEORGE NEAL NORTH,US,1.23,42.32742,-96.367819
MIDAMERICAN ENERGY-RIVERSIDE GENERATING STATION,US,9.96,41.5404,-90.4478
CHEMTOOL ROCKTON NORTH PLANT,US,0.66,42.468611,-89.06555
CERRO FLOW PRODUCTS LLC,US,4.64,38.591804,-90.172888
BRITTAIN MACHINE INC,US,0.38,37.64864,-97.37988
EXACTA AEROSPACE INC,US,0.26,37.66573,-97.39261
UNION TANK CAR - ALEXANDRIA MANUFACTURING FACILITY,US,1.46,31.345298,-92.525109
GREENVILLE TUBE CO LLC,US,2.11,35.461111,-93.473611
JOHNS MANVILLE,US,0.82,35.47474,-97.45914
ACME BRICK CO-BENNETT PLANT,US,2.88,32.718703,-98.049393
PACIFICORP DAVE JOHNSTON PLANT,US,11.44,42.8381,-105.7762
REID GARDNER GENERATING STATION,US,0.75,36.6565,-114.6326
SPS TECHNOLOGIES LLC,US,6.13,33.71108,-117.9196
Greater Des Moines Energy Center,US,14.47,41.5563,-93.5283
Sycamore Combustion Turbine,US,1.16,41.6722,-93.6769
Pleasant Hill Energy Center,US,11.3,41.5572,-93.5242
MidAmerican Energy Local Gas Distribution Company,US,2.14,41.58758,-93.62616
MidAmerican Energy Company Local Natural Gas Distribution Company - Illinois,US,2.14,41.58758,-93.62616
MidAmerican Energy Company Local Natural Gas Distribution Company - Nebraska,US,2.14,41.58758,-93.62616
MidAmerican Energy Company Local Natural Gas Distribution Company - South Dakota,US,2.14,41.58758,-93.62616
MidAmerican Energy Company,US,2.14,41.58758,-93.62616
MidAmerican Energy Company - Bettendorf LNG,US,1.47,41.54444,-90.45061
Johns Manville,US,1.33,32.432598,-84.975758
LEBANON CRUSHED STONE PIKE INDUSTRIES INC,US,20.3,43.617851,-72.326956
CALLANAN INDUSTRIES ALBANY ASPHALT PLANT,US,2.03,42.6178,-73.76051
NATIONAL PIPE & PLASTICS INC.,US,7.85,42.09778,-76.07513
OLDCASTLE PRECAST INC,US,0.73,40.094178,-74.896546
OLDCASTLE LAWN & GARDEN,US,0.3,33.104119,-88.197939
APAC-MISSISSIPPI & PRECISION PACKAGING,US,0.4,32.2632,-90.2076
APAC-MISSISSIPPI INC COLUMBUS ASPHALT PLANT,US,1.23,33.476944,-88.413903
STANDARD READY MIX CONCRETE CO SIOUX CITY PLANT,US,1.65,42.5036,-96.38944
READY MIXED CONCRETE CO COUNCIL BLUFFS PLANT,US,0.4,41.25053,-95.85616
OLDCASTLE LAWN & GARDEN,US,4.14,38.587965,-90.184922
OLDCASTLE MILLER BONNER SPRINGS,US,3.85,39.05278,-94.85324
OLDCASTLE PRECAST INC,US,4.39,39.08016,-95.74345
GERHOLD CONCRETE CO BLAIR PLANT,US,0.49,41.54513,-96.10241
MATERIALS PACKAGING CORP,US,0.81,41.460017,-96.4959
MATERIALS PACKAGING CORP,US,0.81,41.460966,-96.49728
GERHOLD CONCRETE CO - COLUMBUS PLANT,US,0.01,41.437971,-97.383092
SIOUXLAND CONCRETE CO,US,0.15,42.44202,-96.4053
PRECISION PACKAGING INC,US,0.01,34.758056,-92.222194
STANDARD MATERIALS GROUP INC TULSA W 23RD,US,4.43,36.130489,-95.994838
TEXAS BIT LESTON ASPHLAT PLANT,US,1.1,32.8119,-96.893081
OLDCASTLE LAWN & GARDN,US,0.65,32.69779,-96.73937
WACO HOT MIX PLANT,US,1.37,31.53056,-97.07944
AUSTIN SOUTH PLANT,US,4.92,30.24818,-97.68208
RAMIREZ LANE CONCRETE BATCH  PLANT,US,0.78,30.2446,-97.65325
OLDCASTLE PRECAST INC,US,0.06,39.56077,-105.04582
AMCOR MASONRY PRODUCTS,US,0.04,40.83745,-111.93336
LEVIAT,US,2.64,45.26738,-122.671815
INTERSTATE CONCRETE & ASPHALT DBA HOOD RIVER SAND & GRAVEL,US,24.42,45.708569,-121.497738
ASH GROVE CEMENT CO,US,1.02,45.62347,-122.78087
CENTRAL PREMIX CONCRETE PRODUCTS CO.,US,3.69,45.54111,-122.68346
OLDCASTLE PRECAST INC,US,0.02,44.125265,-123.192901
WENATCHEE SAND & GRAVEL,US,22.51,47.406239,-120.299797
CENTRAL WASHINGTON CONCRETE WENATCHEE,US,3.68,47.509144,-120.293205
CENTRAL PRE-MIX - YAKIMA,US,0.77,46.596611,-120.477684
CENTRAL PRE-MIX SULLIVAN ROAD,US,0.61,47.6752,-117.196
CENTRAL PRE-MIX CONCRETE PRODUCTS CO.,US,3.67,47.682357,-117.18392
AMERICAN ROCK PRODUCTS PASCO,US,3.53,46.274686,-119.243921
AMERICAN ROCK PRODUCTS HANFORD,US,5.17,46.317034,-119.293478
SIEMENS INDUSTRY INC,US,30,40.41373,-79.8982
SIEMENS HEALTHINEERS,US,3.73,41.6579,-86.14992
Siemens Energy.inc,US,0.68,32.24943,-90.16217
CHATTEM INC PLANT 2,US,7.85,35.01624,-85.32301
HONEYWELL INTERNATIONAL INC,US,0.74,42.748889,-73.695833
HONEYWELL INTERNATIONAL INC,US,4.11,38.5057,-82.658
ECLIPSE,US,4.74,42.33267,-89.070826
HONEYWELL SAFETY PRODUCTS,US,8.05,41.50017,-90.59447
HONEYWELL INTERNATIONAL INC GEISMAR PLANT,US,5.74,30.2219,-91.0515
ENTEGRIS INC.,US,1.95,39.840652,-75.368238
SAFETY-KLEEN SYSTEMS POCA (POC),US,7.28,38.451192,-81.819553
SAFETY-KLEEN SYSTEMS MILLINGTON (MIL),US,0.3,35.2733,-89.94577
SAFETY-KLEEN SYSTEMS. INC.,US,9.34,32.28818,-90.18101
SAFETY-KLEEN SYSTEMS WICHITA (WIB),US,0.24,37.67166,-97.39882
SAFETY-KLEEN SYSTEMS - METAIRIE,US,3.97,29.97431,-90.15261
SAFETY-KLEEN SYSTEMS KENNER (KEN),US,5.09,30.0009,-90.27704
SAFETY-KLEEN SYSTEMS - ST ROSE,US,3.68,29.96945,-90.29179
SAFETY-KLEEN SYS INC,US,4.2,36.23793,-95.73331
EMERALD SERVICES INC - SPOKANE,US,0.09,47.66843,-117.31958
L-3 POWER PARAGON INC,US,0.13,33.81809,-117.8993
3M CO DBA 3M CLINTON,US,8.19,36.09526,-84.10623
3M CO - WAUSAU DOWNTOWN,US,2.03,44.95018,-89.63766
3M CO-VALLEY,US,0.02,41.30694,-96.3379
CABOT CORP,US,2.14,39.33455,-81.390904
CABOT CORP,US,13.22,38.716251,-85.095767
CABOT CORP CANAL PLANT,US,2.82,29.68576,-91.473179
CABOT CORP - CANAL PLANT,US,3.27,29.734346,-91.482148
PARKER HANNIFIN,US,9.94,41.67112,-86.13078
BALDWIN FILTERS INC,US,0.92,42.88715,-97.34591
PARKER HANNIFIN MANHATTAN FACILITY,US,1.8,39.1959,-96.55719
PARKER HANNIFIN LIBERTY LAKE,US,9.47,47.677927,-117.090273
AUTO WAX CO,US,20.68,32.83362,-96.88371
DARLING INGREDIENTS INC,US,2.96,41.813889,-90.22
DARLING INGREDIENTS INC,US,0.79,37.465019,-121.030327
SIKA-FAIRLESS HILLS PA,US,2.15,40.1623,-74.7504
NEPTUNE TECHNOLOGY GROUP INC,US,0.36,32.52358,-85.89471
EXELON CORP SCHUYLKILL GENERATING STATION,US,4.23,39.94178,-75.186845
EXELON CORP CROYDON GENERATING STATION,US,3.73,40.07998,-74.89336
Eddystone Generating Station,US,3.06,39.858,-75.323
PECO Gas Division,US,13.88,39.95415,-75.17781
VEOLIA ES TECHNICAL SOLUTIONS LLC,US,4.3,38.59452,-90.18551
UMICORE ELECTRICAL MATERIALS USA INC,US,22.27,43.29695,-73.64315
SIKORSKY AIRCRAFT STRATFORD FACILITY,US,10.64,41.2484,-73.09765
LOCKHEED MARTIN RMS,US,7.61,42.09544,-76.22401
ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,US,30,40.6081,-79.7291
ALLEGHENY LUDLUM LLC,US,26.04,40.64008,-79.61118
PRYSMIAN CABLE & SYSTEMS LLC,US,0.16,42.99397,-71.47268
PRYSMIAN CABLES & SYSTEMS USA LLC,US,3.11,41.23107,-77.05523
BATH IRON WORKS,US,6.03,43.91,-69.815
AIR PRODUCTS & CHEMICALS INC.,US,5.25,40.191667,-74.783306
AIR PRODUCTS & CHEMICALS INC - GARYVILLE SMR,US,2.72,30.06273,-90.58819
AIR PRODUCTS & CHEMICALS INC LULING SMR,US,4.4,29.921746,-90.350852
AIR PRODUCTS & CHEMCIALS INC  NORCO SMR,US,6.14,30.0169,-90.40874
AIR PRODUCTS & CHEMICALS INC ( NEW ORLEANS LA FACILITY),US,1.96,30.029033,-89.900517
AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,US,4.14,30.10817,-90.88404
AIR PRODUCTS & CHEMICALS INC,US,8.32,30.119088,-90.869264
AIR PRODUCTS AND CHEMICALS INCORPORATED,US,0.01,38.529722,-121.398889
AIR PRODUCTS & CHEMICALS INC - Geismar SMR,US,1.24,30.18379,-90.98836
AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,US,5.53,30.09959,-90.648851
AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,US,2.14,30.022255,-89.900984
AIR PRODUCTS CHEMICALS INC,US,0.01,30.20578,-90.99383
Air Products and Chemicals. Inc.,US,0.1,39.18291,-84.50394
Air Products and Chemicals Inc. Luling SMR Facility,US,3.47,29.93061,-90.34702
Air Products - Geismar 3 HYCO,US,4.79,30.19641,-91.01745
MODINE MANUFACTURING CO,US,15.19,36.10189,-84.10451
WORTHINGTON INDUSTRIES PADUCAH,US,0.51,37.04833,-88.56873
WORTHINGTON CYLINDERS KANSAS LLC,US,0.69,37.7839,-97.4814
AMPHENOL ANTENNA SOLUTIONS,US,0.82,42.21504,-89.0766
UNIFIED BRANDS/GROEN,US,3.41,32.166631,-90.264703
ASTRONICS PECO GROUP,US,0.28,45.48848,-122.64837
COLGATE-PALMOLIVE CO,US,5.06,38.279278,-85.765694
HILL'S PET NUTRITION INC,US,7.84,39.060981,-95.672854
FORT MYERS POWER PLANT,US,0.33,26.6967,-81.7831
Fort Myers,US,0.33,26.6967,-81.7831
KEYSTONE FOODS LLC - ALABAMA DIV,US,1.75,33.96546,-86.07319
TYSON FARMS INC,US,10.68,32.388866,-90.883579
TYSON CHICKEN INC. FEED MILL,US,1.99,37.628703,-87.528216
TYSON FRESH MEATS INC-PERRY,US,2.78,41.841944,-94.126111
TYSON FRESH MEATS INC.,US,3.6,41.24018,-95.88697
TYSON FRESH MEATS INC-LOUISA COUNTY,US,2.48,41.296667,-91.356944
TYSON FRESH MEATS INC - JOSLIN IL,US,6.36,41.551434,-90.225723
TYSON FRESH MEATS INC WWTP,US,1.45,42.428889,-96.416944
TYSON FRESH MEATS INC,US,1.45,42.428889,-96.416944
TYSON POULTRY INC. - PINE BLUFF FEED MILL,US,0.25,34.263956,-91.938772
TYSON POULTRY INC NORTH LITTLE ROCK,US,0.01,34.758417,-92.224056
TYSON POULTRY INC,US,4.12,35.426127,-93.502525
TYSON POULTRY INC.,US,0.09,35.2176,-93.1611
TYSON POULTRY INC,US,3.97,35.42522,-94.3295
TYSON FRESH MEATS INC,US,6.36,41.5514,-90.2256
Tyson Fresh Meats. Inc.- Dakota City. NE,US,0.21,42.424893,-96.514309
TYSON FRESH MEATS INC,US,2.48,41.296667,-91.356944
TYSON FRESH MEATS INC,US,0.03,37.999254,-101.011647
TYSON FRESH MEATS INC-PERRY,US,2.78,41.84096,-94.12596
SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,US,27.32,43.20357,-77.62837
SPECIALTY PRODUCTS US LLC - POLYOX PLANT,US,23.27,38.383343,-81.776202
DANISCO SWEETENERS INC,US,1.45,41.999852,-90.10985
PLAQUEMINE METHOCEL,US,2.63,30.318804,-91.241425
FABRICATED TUBE PRODUCTS - CARROLLTON,US,5.6,32.95122,-96.93741
YALE SECURITY INC. - YALE COMMERCIAL FACILITY,US,11.42,35.78754,-84.26564
ARKEMA INC FRANKLIN PLANT,US,1.34,36.652054,-77.001306
ARKEMA INC,US,5.67,37.056699,-88.365727
ARKEMA COATING RESINS,US,4.41,39.13229,-94.56953
ARKEMA COATING RESINS,US,0.8,29.98553,-90.44728
ARKEMA INC,US,0.76,30.060226,-94.058976
PRECOAT METALS,US,3.41,32.166686,-90.262797
PRECOAT METALS,US,4.94,37.929853,-86.78121
MIDWEST METAL COATINGS,US,2.37,38.727349,-90.143937
PRECOAT METALS,US,4.39,38.74631,-90.12951
GE CO,US,7.46,42.810809,-73.962246
GE Power and Water,US,6.46,42.8099,-73.95172
CMC REBAR,US,5.22,36.15811,-86.74549
CMC REBAR - KANSAS CITY,US,4.63,39.135009,-94.525085
CMC STEEL FABRICATORS INC. DBA CMC REBAR,US,0.46,32.77847,-96.89934
CMC STEEL FABRICATORS INC DBA CMC VALLEY STEEL,US,0.18,26.21899,-97.71584
CMC REBAR DENVER,US,16.34,39.79385,-104.96875
CMC REBAR ALBUQUERQUE,US,0.15,35.10865,-106.64333
TTM TECHNOLOGIES N.A. LLC,US,0.46,44.94116,-91.36088
TTM TECHNOLOGIES N.A. LLC,US,6.13,33.71149,-117.92179
TTM TECHNOLOGIES N.A. LLC,US,0.02,33.85454,-117.85621
CLIMAX MOLYBDENUM CO,US,0.96,40.5826,-91.4261
BIC CONSUMER PRODUCTS MANUFACTURING CO INC,US,0.62,41.221248,-73.101493
SKYLINE STEEL LLC-FAIRLESS HILLS,US,2.15,40.16107,-74.75207
NUCOR STEEL TUSCALOOSA INC,US,0.93,33.23375,-87.50693
INDEPENDENCE TUBE CORP,US,1.18,34.66088,-87.08139
NUCOR STEEL MEMPHIS INC,US,2.18,35.04991,-90.15314
NUCOR STEEL MEMPHIS PROCESSING,US,4.64,35.083103,-90.126397
NUCOR STEEL JACKSON INC,US,3.04,32.312167,-90.137278
REPUBLIC CONDUIT MANUFACTURING,US,0.51,38.17205,-85.887508
NUCOR STEEL GALLATIN LLC,US,15.6,38.766667,-85.004167
SKYLINE STEEL LLC-BELPRE,US,10.15,39.32212,-81.56289
NUCOR TUBULAR PRODUCTS INC.,US,6.21,41.322787,-88.690164
NUCOR STEEL LOUISIANA LLC,US,2.53,30.101623,-90.867748
NUCOR STEEL-ARKANSAS,US,5.76,35.941,-89.727
NUCOR COATINGS CORP,US,4.28,35.938333,-89.775
SKYLINE STEEL LLC-ARMOREL,US,4.18,35.916,-89.776806
NUCOR-YAMATO STEEL CO,US,1.92,35.901866,-89.775643
CBC STEEL BUILDINGS LLC,US,0.33,37.81185,-121.27235
SKYLINE STEEL LLC-LONGVIEW,US,5.26,46.110883,-122.935563
Nucor Steel Louisiana LLC,US,3.42,30.081306,-90.860528
SPENSALL A DIV OF FASTENAL MANUFACTURING,US,5.04,44.06187,-91.68256
BURLINGTON GENERATING STATION,US,1.71,40.071444,-74.875889
MERCER GENERATING STATION,US,10.26,40.178882,-74.733936
BETHLEHEM ENERGY CENTER,US,10.05,42.59375,-73.761111
DAL-TILE CORP LEWISPORT PLANT,US,3.13,37.9249,-86.90099
RBC TRANSPORT DYNAMICS CORP,US,0.24,33.70876,-117.91248
SANDVIK SPECIAL METALS LLC,US,0.07,46.145258,-119.011172
SEALED AIR CORP,US,3.91,39.719158,-94.89521
DUNKIRK STEAM STATION,US,0.06,42.49177,-79.34759
ELRAMA POWER PLANT,US,7.5,40.252362,-79.917322
PORTLAND POWER PLANT,US,21.8,40.9095,-75.079143
W.A. PARISH ELECTRIC GENERATING STATION,US,0.96,29.478295,-95.635775
W A Parish,US,0.96,29.4783,-95.6358
Contra Costa Generating Station,US,5.23,38.0184,-121.761
ECOLAB INC,US,4.34,37.003041,-89.168604
ECOLAB INC,US,11.21,39.13342,-94.55674
NALCO CO,US,4.85,30.048591,-90.630941
NALCO CO,US,3.89,30.41898,-91.23679
NALCO COMPANY-ROCK SPRINGS,US,1.37,41.55176,-109.29774
PHILLIPS 66 SAVANNAH LUBRICANTS PLANT,US,3.92,32.077486,-81.045918
PHILLIPS 66 TERMINAL,US,3.47,38.811581,-90.091642
PHILLIPS 66 CO EAST ST LOUIS TERMINAL,US,6.95,38.58215,-90.188198
PHILLIPS 66  - ALLIANCE REFINERY,US,4.21,29.68,-89.980833
PHILLIPS 66 CO OKLAHOMA CITY PRODUCTS TERMINAL,US,2.77,35.4773,-97.4312
PHILLIPS 66 CO SAN BERNARD TER MINAL,US,2.15,29.061054,-95.672676
PHILLIPS 66 CO.  JONES CREEK TERMINAL,US,1.23,28.940267,-95.430237
PHILLIPS 66 SPOKANE-PARKWATER TERMINAL,US,0.09,47.66991,-117.317119
VEOLIA JAMES RIVER PLANT,US,12.2,37.416944,-77.408889
VEOLIA WURTLAND PLANT,US,16.23,38.555556,-82.789167
VEOLIA FORT HILL PLANT,US,14.09,39.115278,-84.796111
VEOLIA BURNSIDE PLANT,US,1.93,30.125259,-90.912628
GCP APPLIED TECHNOLOGIES INC,US,7.15,33.45056,-81.92405
COLONIAL LANDFILL,US,2.47,30.148414,-90.874105
UPPER ROCK ISLAND COUNTY LANDFILL,US,3.86,41.53668,-90.379678
FORT WORTH REGIONAL LANDFILL,US,0.04,32.789533,-97.242917
CRESCENT ACRES LANDFILL,US,4.09,29.97371,-89.99852
BIG RIVER LANDFILL,US,0.77,33.3955,-90.90665
STEPAN CO - FIELDSBORO PLANT,US,10.14,40.133999,-74.734883
STEPAN CO,US,0.01,33.84925,-117.9154
BEHR PROCESS CORP - ALTON,US,0.16,33.70368,-117.8904
BEHR PROCESS CORP - GARRY & YALE,US,0.2,33.70564,-117.91566
MASCO BATH,US,1.92,42.17096,-121.75499
VALMONT PITTSBURGH GALVANIZING,US,0.65,40.63272,-80.44639
VALMONT NEWMARK,US,9.65,35.04647,-85.6441
VALMONT COATINGS GATEWAY GALVANIZING,US,1.59,38.327894,-85.668221
VALMONT COATINGS INC DBA SIOUXLAND GALVANIZING CORP.,US,2.25,42.431,-96.38075
VALMONT NEWMARK INC,US,0.23,41.43036,-97.29115
CHALMETTE REFINING LLC,US,1.2,29.936411,-89.972954
CHALMETTE REFINING LLC - CHALMETTE REFINERY,US,3.57,29.962482,-89.953344
OXY VINYLS LP,US,0.91,39.763611,-75.423611
OCCIDENTAL CHEMICAL CORP (OXYCHEM),US,6.54,36.049722,-87.983889
OCCIDENTAL CHEMICAL CORP SAUGET PLANT,US,4.64,38.600011,-90.169928
OCCIDENTAL CHEMICAL CORP,US,4.37,29.97371,-90.45892
OCCIDENTAL CHEMICAL CORP LULING,US,3.47,29.9307,-90.34736
OCCIDENTAL CHEMICAL HOLDING CORP,US,4.13,30.05509,-90.83084
OCCIDENTAL CHEMICAL HOLDING CORP - GEISMAR PLANT,US,2.27,30.1851,-90.9804
SOLVAY SPECIALTY POLYMERS USA LLC,US,1.86,39.845474,-75.209486
SOLVAY SPECIALTY POLYMERS USA LLC,US,29.08,39.370495,-81.515306
CYTEC SOLVAY COMPOSITE MATERIALS  ANAHEIM,US,0.01,33.86194,-117.86123
SOLVAY CHEMICALS INC,US,6.42,46.136952,-122.982513
CORNING INC,US,5.09,42.13751,-76.921193
EQUISTAR CHEMICALS LP-MATAGORDA FACILITY,US,0.02,28.7875,-95.943056
SILGAN CONTAINERS MANUFACTURING CORP,US,4.39,44.77964,-93.3364
SILGAN CONTAINERS MANUFACTURING CORP,US,3.91,39.719501,-94.892708
SILGAN CONTAINERS MFG CORP,US,0.08,38.510556,-121.467222
LEGGETT & PLATT INC,US,30,41.110568,-76.13783
STERLING STEEL CO LLC,US,1.12,41.786281,-89.709809
LEGGETT & PLATT INC,US,4.13,37.240342,-89.583831
EVONIK CORP,US,1.95,39.837605,-75.37294
EVONIK CORP CALVERT CITY PLANT,US,4.67,37.041035,-88.348001
EVONIK CORP,US,4.67,37.054722,-88.335
EVONIK INDUSTRIES,US,13.04,42.670059,-89.037076
EVONIK CORP,US,3.51,40.564725,-89.724485
EVONIK CORP,US,1.52,41.53673,-96.102
EVONIK CORP,US,9.97,30.04084,-90.62532
EVONIK CORP,US,2.96,30.07183,-90.574632
CHEVRON LOUISVILLE TERMINAL/LUBRICANTS BLEND PLANT,US,3.48,38.227794,-85.83723
CHEVRON ORONITE CO LLC,US,4.72,29.80825,-90.01
CHEVRON FORT WORTH TERMINAL,US,0.55,32.78785,-97.32521
BANTA TERMINAL CHEVRON PRODUCTS CO,US,1.73,37.75091,-121.34804
CHEVRON PRODUCTS CO SACRAMENTO TERMINAL,US,9.74,38.56805,-121.51282
Salinas River Cogeneration Facility,US,3.27,35.9515,-120.8679
Chevron Oronite Oak Point,US,4.72,29.80832,-90.01291
LANXESS CORP NEVILLE ISLAND,US,15.21,40.50787,-80.11171
LANXESS CORP,US,3.51,40.565833,-89.721389
KAWASAKI RAIL CAR INC,US,2.59,40.93661,-73.9001
KAWASAKI RAIL CAR INC,US,2.59,40.93661,-73.9001
BALL METAL FOOD CONTAINER LLC,US,18.41,40.38864,-80.62305
REXAM BEVERAGE CAN CO,US,2.05,44.9406,-93.08121
BCP INGREDIENTS INC,US,4.41,30.24916,-91.08888
ACRA AEROSPACE,US,0.01,33.8564,-117.887057
THE AMES COS INC,US,0.22,40.045284,-95.599406
DUCOMMUN AEROSTRUCTURES INC ORANGE FACILITY,US,0.55,33.81879,-117.86204
LIPPERT COMPONENTS INC,US,1.59,41.6845,-85.923
LCI - 039B,US,2.62,41.658203,-86.157605
LYDALL THERMAL/ACOUSTICAL INC,US,0.74,42.742157,-73.692494
LYDALL PERFORMANCE MATERIALS,US,20.39,43.3544,-76.426447
CARLISLE POLYURETHANE SYSTEMS,US,9.69,35.06118,-85.274261
AMERICAN SYNTHETIC RUBBER CO,US,1.5,38.209317,-85.847511
BF GOODRICH TIRE MANUFACTURING,US,2.12,41.135806,-84.904667
BF GOODRICH TIRE MANUFACTURING,US,2.12,41.136194,-84.905111
MATTHEWS INTERNATIONAL CORP,US,26.68,40.48822,-79.86871
KRAFT HEINZ FOODS CO,US,3.11,40.249865,-81.869726
KRAFT FOODS GROUP INC DAVENPORT,US,4.05,41.519722,-90.593056
KRAFT HEINZ FOOD CO,US,1.75,44.033053,-116.957188
ARCONIC INC,US,1.39,44.950425,-74.893685
ALCOA USA CORP.,US,5.98,44.965835,-74.8935
NESTLE PURINA PETCARE,US,18.5,39.94032,-82.01195
NESTLE PURINA PETCARE CO,US,0.63,41.82362,-90.24074
NESTLE PURINA PETCARE CO DAVENPORT FACTORY,US,5.05,41.51459,-90.60816
NESTLE PURINA PETCARE CO,US,1.4,39.72,-94.89064
NESTLE PURINA  PETCARE,US,0.07,39.72574,-94.86817
NESTLE PURINA PETCARE,US,18.5,39.94032,-82.01195
NESTLE PURINA PETCARE CO,US,0.63,41.82362,-90.24074
NESTLE PURINA PETCARE CO DAVENPORT FACTORY,US,5.05,41.51459,-90.60816
NESTLE PURINA PETCARE CO,US,1.4,39.72,-94.89064
NESTLE PURINA  PETCARE,US,0.07,39.72574,-94.86817
NESTLE PURINA PETCARE,US,18.5,39.94032,-82.01195
NESTLE PURINA PETCARE CO,US,0.63,41.82362,-90.24074
NESTLE PURINA PETCARE CO DAVENPORT FACTORY,US,5.05,41.51459,-90.60816
NESTLE PURINA PETCARE CO,US,1.4,39.72,-94.89064
NESTLE PURINA  PETCARE,US,0.07,39.72574,-94.86817
SAGINAW METAL CASTING OPERATIONS,US,3.74,43.4503,-83.920477
GM MLCG FAIRFAX ASSEMBLY,US,2.72,39.147533,-94.601884
WASTE MANAGEMENT OF LA LLC/RELIABLE LANDFILL,US,6.91,30.576513,-91.530547
Magnolia Landfill,US,1.09,32.478456,-91.991875
GROWS LDFL WASTE MGMT,US,3.02,40.159344,-74.776695
WASTE MANAGEMENT OF TUNICA LANDFILL INC,US,3.65,34.787667,-90.248278
BURNSVILLE SANITARY LANDFILL,US,1.64,44.785343,-93.318085
WASTE MGMT OF OK/EAST OAK LNDFLL,US,0.34,35.50851,-97.41887
Milam Recycling and Disposal Facility,US,4.72,38.655,-90.125
MARATHON PETROLEUM CO - FLOREFFE PA ASPHALT TERMINAL,US,30,40.2584,-79.91518
MPLX TERMINALS LLC - MIDLAND PA TERMINAL,US,0.65,40.630066,-80.441732
MPLX TERMINALS LLC - CHARLESTON WV TERMINAL,US,18.84,38.350308,-81.644803
MPLX TERMINALS LLC - KENOVA WV TERMINAL,US,2.14,38.405553,-82.587875
BLANCHARD TERMINAL CO - JACKSONVILLE FL TERMINAL,US,1.13,30.414301,-81.605399
MPLX TERMINALS LLC - MONTGOMERY AL TERMINAL,US,0.33,32.35207,-86.38572
MARATHON PETROLEUM CO - NASHVILLE TN ASP TERMINAL,US,16.45,36.203812,-86.808617
MPLX TERMINALS LLC - NASHVILLE DOWNTOWN TN TERMINAL,US,12.35,36.16964,-86.77424
MPLX TERMINALS LLC - NASHVILLE BORDEAUX TN TERMINAL,US,30,36.184453,-86.83323
